,RNFS;ancramir;VDIRPA372;90.128.1.120;GenerarLog;2024216;8:29:49
66,(16/02/2024 9:33:37 a. m.) ;SubMaestraCorreoEstado;Inició tarea
67,(16/02/2024 9:34:25 a. m.) ;LoginC360; Davibox; Taskkill ejecutado
68,(16/02/2024 9:36:18 a. m.) ;LoginC360;C360;Inicio de sesión en C360 exitoso.
69,(16/02/2024 9:36:42 a. m.) ;LoginMasiv;Masiv;Inicio de sesión en Masiv exitoso.
70,"(16/02/2024 9:36:42 a. m.) ;SubMaestraCorreoEstado;Se ejecutara script FechaConFormato.vbs. Parametros: ""hoy"" ""ddmmyyyy"""
71,(16/02/2024 9:36:43 a. m.) ;SubMaestraCorreoEstado;Script ejecutado FechaConFormato.vbs output: 16022024
72,(16/02/2024 9:36:43 a. m.) ;SubMaestraCorreoEstado;Copiar archivo (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Templet\Reporte_Notificaciones.xlsx) a (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Templet\Reporte_Notificaciones_Check.xlsx)
73,"(16/02/2024 9:36:45 a. m.) ;CambiarEstadoC360;Numero de Radicado: ""1-41288901503"""
74,(16/02/2024 9:36:55 a. m.) ;CambiarEstadoC360;C360; Estado de procesamiento: REASIGNAR
75,RNFS;ancramir;VDIRPA372;90.128.1.120;GenerarLog;2024216;9:40:43
76,(16/02/2024 9:40:45 a. m.) ;Configuracion;Gsuite;  Descarga exitosa archivo configuracion.json ID: 1oto3xGnesJQB3ZR61J05u1nlfOpTiJcs
77,(16/02/2024 9:40:46 a. m.) ;Configuracion;Gsuite;  Descarga exitosa archivo Parametros.xlsx ID: 1qsx1GnRzLNn2Xvvfvws5mKyFlivQ48q1VeyI9lqE9ZU
78,(16/02/2024 9:40:51 a. m.) ;Configuracion;CMD; (Taskkill) ejecutado
79,(16/02/2024 9:40:51 a. m.) ;Configuracion;No aplica;Archivos eliminados de la carpeta 'Archivos'
80,(16/02/2024 9:40:51 a. m.) ;Configuracion;No aplica;Carpeta 'Salidas_Historicos' eliminada de la carpeta 'Archivos'
81,(16/02/2024 9:40:51 a. m.) ;Configuracion;No aplica;Carpeta 'Salidas_His_Pro' eliminada de la carpeta 'Archivos'
82,(16/02/2024 9:40:51 a. m.) ;Configuracion;No aplica;Carpeta 'Salidas_Proyecciones' eliminada de la carpeta 'Archivos'
83,(16/02/2024 9:40:51 a. m.) ;Configuracion;Cargue configuración exitoso
84,(16/02/2024 9:40:51 a. m.) ;MaestraNotificaciones1;Inicio Tarea
85,(16/02/2024 9:40:52 a. m.) ;SubMaestraDescargarDavibox;Inicio Tarea
86,(16/02/2024 9:40:58 a. m.) ;LoginDavibox; Davibox; Taskkill ejecutado
87,(16/02/2024 9:42:01 a. m.) ;LoginDavibox;Davibox;Inicio de sesión en Davibox exitoso.
88,(16/02/2024 9:42:27 a. m.) ;DescargarDavibox;Archivo (Salidas_His_Pro.zip) descargada en carpeta archivos
89,(16/02/2024 9:42:34 a. m.) ;DescargarDavibox;Archivos eliminados de Davibox  (Salidas_His_Pro.zip)
90,(16/02/2024 9:42:48 a. m.) ;SubMaestraDescargarDavibox;Fin Tarea
91,(16/02/2024 9:42:48 a. m.) ;SubMaestraCorreoEstado;Inició tarea
92,(16/02/2024 9:43:07 a. m.) ;LoginC360; Davibox; Taskkill ejecutado
93,(16/02/2024 9:44:55 a. m.) ;LoginC360;C360;Inicio de sesión en C360 exitoso.
94,(16/02/2024 9:45:18 a. m.) ;LoginMasiv;Masiv;Inicio de sesión en Masiv exitoso.
95,"(16/02/2024 9:45:18 a. m.) ;SubMaestraCorreoEstado;Se ejecutara script FechaConFormato.vbs. Parametros: ""hoy"" ""ddmmyyyy"""
96,(16/02/2024 9:45:18 a. m.) ;SubMaestraCorreoEstado;Script ejecutado FechaConFormato.vbs output: 16022024
97,(16/02/2024 9:45:18 a. m.) ;SubMaestraCorreoEstado;Copiar archivo (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Templet\Reporte_Notificaciones.xlsx) a (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Templet\Reporte_Notificaciones_Check.xlsx)
98,(16/02/2024 9:45:20 a. m.) ;SubMaestraCorreoEstado;Fin tarea
99,"(16/02/2024 9:45:31 a. m.) ;CargarArchivos;Se ejecutara script: FechaConFormato.vbs Parametros: ""hoy"" ""ddmmyyyy"""
100,"(16/02/2024 9:45:32 a. m.) ;CargarArchivos;Script Ejecutado FechaConFormato.vbs output: ""16022024"""
101,(16/02/2024 9:45:32 a. m.) ;CargarArchivos;Carpeta Eliminada (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Reportes)
102,(16/02/2024 9:45:33 a. m.) ;CargarArchivos;Carpeta creada (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Reportes)
103,(16/02/2024 9:45:33 a. m.) ;CargarArchivos;Carpeta copiada de (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Archivos\Salidas_His_Pro) a (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Reportes)
104,(16/02/2024 9:45:33 a. m.) ;CargarArchivos;Carpeta copiada de (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Archivos\Salidas_Historicos) a (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Reportes)
105,(16/02/2024 9:45:33 a. m.) ;CargarArchivos;Carpeta copiada de (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Archivos\Salidas_Proyecciones) a (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Reportes)
106,(16/02/2024 9:45:35 a. m.) ;CargarArchivos; Respuesta Gdrive: 14NwgA-FQBbahOKqXhWlw7CFGg9OunKh8
107,"(16/02/2024 9:45:38 a. m.) ;CargarArchivos;Se ejecutara script: FechaConFormato.vbs Parametros: ""hoy"" ""ddmmyyyy"""
108,"(16/02/2024 9:45:38 a. m.) ;CargarArchivos;Script Ejecutado FechaConFormato.vbs output: ""16022024"""
109,(16/02/2024 9:45:38 a. m.) ;CargarArchivos;Carpeta Eliminada (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Reportes)
110,(16/02/2024 9:45:39 a. m.) ;CargarArchivos;Carpeta creada (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Reportes)
111,(16/02/2024 9:45:39 a. m.) ;CargarArchivos;Carpeta copiada de (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Archivos\Salidas_His_Pro) a (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Reportes)
